Points:0,Points:1,Points:2
0.271,0,0
0.274,0,0
0.277,0,0
0.28,0,0
0.283,0,0
0.286,0,0
0.289,0,0
0.292,0,0
0.295,0,0
0.298,0,0
0.301,0,0
0.304,0,0
0.307,0,0
0.31,0,0
0.313,0,0
0.316,0,0
0.319,0,0
0.322,0,0
0.325,0,0
0.328,0,0
0.331,0,0
0.334,0,0
0.337,0,0
0.34,0,0
0.343,0,0
0.346,0,0
0.349,0,0
0.352,0,0
0.355,0,0
0.358,0,0
0.361,0,0
0.364,0,0
0.367,0,0
0.37,0,0
0.373,0,0
0.376,0,0
0.379,0,0
0.382,0,0
0.385,0,0
0.388,0,0
0.391,0,0
0.394,0,0
0.397,0,0
0.4,0,0
0.403,0,0
0.406,0,0
0.409,0,0
0.412,0,0
0.415,0,0
0.418,0,0
0.421,0,0
0.424,0,0
0.427,0,0
0.43,0,0
0.433,0,0
0.436,0,0
0.439,0,0
0.442,0,0
0.445,0,0
0.448,0,0
0.451,0,0
0.454,0,0
0.457,0,0
0.46,0,0
0.463,0,0
0.466,0,0
0.469,0,0
0.472,0,0
0.475,0,0
0.478,0,0
0.481,0,0
0.484,0,0
0.487,0,0
0.49,0,0
0.493,0,0
0.496,0,0
0.499,0,0
0.502,0,0
0.505,0,0
0.508,0,0
0.511,0,0
0.514,0,0
0.517,0,0
0.52,0,0
0.523,0,0
0.526,0,0
0.529,0,0
0.532,0,0
0.535,0,0
0.538,0,0
0.541,0,0
0.544,0,0
0.547,0,0
0.55,0,0
0.553,0,0
0.556,0,0
0.559,0,0
0.562,0,0
0.565,0,0
0.568,0,0
0.571,0,0
0.574,0,0
0.577,0,0
0.58,0,0
0.583,0,0
0.586,0,0
0.589,0,0
0.592,0,0
0.595,0,0
0.598,0,0
0.601,0,0
0.604,0,0
0.607,0,0
0.61,0,0
0.613,0,0
0.616,0,0
0.619,0,0
0.622,0,0
0.625,0,0
0.628,0,0
0.631,0,0
0.634,0,0
0.637,0,0
0.64,0,0
0.643,0,0
0.646,0,0
0.649,0,0
0.652,0,0
0.655,0,0
0.658,0,0
0.661,0,0
0.664,0,0
0.667,0,0
0.67,0,0
0.673,0,0
0.676,0,0
0.679,0,0
0.682,0,0
0.685,0,0
0.688,0,0
0.691,0,0
0.694,0,0
0.697,0,0
0.7,0,0
0.703,0,0
0.706,0,0
0.709,0,0
0.712,0,0
0.715,0,0
0.718,0,0
0.721,0,0
0.724,0,0
0.727,0,0
0.73,0,0
0.733,0,0
0.736,0,0
0.739,0,0
0.742,0,0
0.745,0,0
0.748,0,0
0.751,0,0
0.754,0,0
0.757,0,0
0.76,0,0
0.763,0,0
0.766,0,0
0.769,0,0
0.772,0,0
0.775,0,0
0.778,0,0
0.781,0,0
0.784,0,0
0.787,0,0
0.79,0,0
0.793,0,0
0.796,0,0
0.799,0,0
0.802,0,0
0.805,0,0
0.808,0,0
0.811,0,0
0.814,0,0
0.817,0,0
0.82,0,0
0.823,0,0
0.826,0,0
0.829,0,0
0.832,0,0
0.835,0,0
0.838,0,0
0.841,0,0
0.844,0,0
0.847,0,0
0.85,0,0
0.853,0,0
0.856,0,0
0.859,0,0
0.862,0,0
0.865,0,0
0.868,0,0
0.871,0,0
0.874,0,0
0.877,0,0
0.88,0,0
0.883,0,0
0.886,0,0
0.889,0,0
0.892,0,0
0.895,0,0
0.898,0,0
0.901,0,0
0.904,0,0
0.907,0,0
0.91,0,0
0.913,0,0
0.916,0,0
0.919,0,0
0.922,0,0
0.925,0,0
0.928,0,0
0.931,0,0
0.934,0,0
0.937,0,0
0.94,0,0
0.943,0,0
0.946,0,0
0.949,0,0
0.952,0,0
0.955,0,0
0.958,0,0
0.961,0,0
0.964,0,0
0.967,0,0
0.97,0,0
0.973,0,0
0.976,0,0
0.979,0,0
0.982,0,0
0.985,0,0
0.988,0,0
0.991,0,0
0.994,0,0
0.997,0,0
0,0,0.001
0.004,0,0.001
0.007,0,0.001
0.01,0,0.001
0.013,0,0.001
0.016,0,0.001
0.019,0,0.001
0.022,0,0.001
0.025,0,0.001
0.028,0,0.001
0.031,0,0.001
0.034,0,0.001
0.037,0,0.001
0.04,0,0.001
0.043,0,0.001
0.046,0,0.001
0.049,0,0.001
0.052,0,0.001
0.055,0,0.001
0.058,0,0.001
0.061,0,0.001
0.064,0,0.001
0.067,0,0.001
0.07,0,0.001
0.073,0,0.001
0.076,0,0.001
0.079,0,0.001
0.082,0,0.001
0.085,0,0.001
0.088,0,0.001
0.091,0,0.001
0.094,0,0.001
0.097,0,0.001
0.1,0,0.001
0.103,0,0.001
0.106,0,0.001
0.109,0,0.001
0.112,0,0.001
0.115,0,0.001
0.118,0,0.001
0.121,0,0.001
0.124,0,0.001
0.127,0,0.001
0.13,0,0.001
0.133,0,0.001
0.136,0,0.001
0.139,0,0.001
0.142,0,0.001
0.145,0,0.001
0.148,0,0.001
0.151,0,0.001
0.154,0,0.001
0.157,0,0.001
0.16,0,0.001
0.163,0,0.001
0.166,0,0.001
0.169,0,0.001
0.172,0,0.001
0.175,0,0.001
0.178,0,0.001
0.181,0,0.001
0.184,0,0.001
0.187,0,0.001
0.19,0,0.001
0.193,0,0.001
0.196,0,0.001
0.199,0,0.001
0.202,0,0.001
0.205,0,0.001
0.208,0,0.001
0.211,0,0.001
0.214,0,0.001
0.217,0,0.001
0.22,0,0.001
0.223,0,0.001
0.226,0,0.001
0.229,0,0.001
0.232,0,0.001
0.235,0,0.001
0.238,0,0.001
0.241,0,0.001
0.244,0,0.001
0.247,0,0.001
0.25,0,0.001
0.253,0,0.001
0.256,0,0.001
0.259,0,0.001
0.262,0,0.001
0.265,0,0.001
0.268,0,0.001
0.271,0,0.001
0.274,0,0.001
0.277,0,0.001
0.28,0,0.001
0.283,0,0.001
0.286,0,0.001
0.289,0,0.001
0.292,0,0.001
0.295,0,0.001
0.298,0,0.001
0.301,0,0.001
0.304,0,0.001
0.307,0,0.001
0.31,0,0.001
0.313,0,0.001
0.316,0,0.001
0.319,0,0.001
0.322,0,0.001
0.325,0,0.001
0.328,0,0.001
0.331,0,0.001
0.334,0,0.001
0.337,0,0.001
0.34,0,0.001
0.343,0,0.001
0.346,0,0.001
0.349,0,0.001
0.352,0,0.001
0.355,0,0.001
